stim_word,old_new,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,textStudy.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,textTest.started,keyTest.started,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,text.started,text.stopped,textEnd.started,keyEnd.started,keyEnd.keys,keyEnd.rt,keyEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,28.06437799986452,28.06437799986452,space,0.47413400025106966,None,,,,,,,,,,,,,,,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
hill,,0,0,0,2,,,,,,,,,,28.580926399910823,,,,,,,,,,,,,,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
machine,,0,1,1,4,,,,,,,,,,29.580893199890852,,,,,,,,,,,,,,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
green,,0,2,2,3,,,,,,,,,,30.581361499847844,,,,,,,,,,,,,,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
computer,,0,3,3,0,,,,,,,,,,31.58093659998849,,,,,,,,,,,,,,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
circle,,0,4,4,5,,,,,,,,,,32.581022899830714,,,,,,,,,,,,,,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
mountain,,0,5,5,1,,,,,,,,,,33.58080629981123,,,,,,,,,,,,,,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
,,,,,,,,,,,,,,,,34.580726499902084,34.580726499902084,space,1.7859929001424462,None,,,,,,,,,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
mountain,old,,,,,0,0,0,1,,,,,,,,,,,,36.39722329983488,36.39722329983488,n,0,4.183992800069973,None,40.630709499819204,,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
machine,old,,,,,0,1,1,4,,,,,,,,,,,,42.63090979983099,42.63090979983099,y,1,3.979523700196296,None,46.630659400019795,48.63076199986972,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
green,old,,,,,0,2,2,3,,,,,,,,,,,,48.63076199986972,48.63076199986972,n,0,1.4253943001385778,None,50.080451800022274,52.08088769996539,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
button ,new ,,,,,0,3,3,7,,,,,,,,,,,,52.08088769996539,52.08088769996539,n,1,1.1241505001671612,None,53.23047659988515,55.23078519990668,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
country,new ,,,,,0,4,4,8,,,,,,,,,,,,55.23078519990668,55.23078519990668,y,0,2.3635553000494838,None,57.61386689986102,59.61378220003098,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
hill,old,,,,,0,5,5,2,,,,,,,,,,,,59.61378220003098,59.61378220003098,y,1,1.8505053000990301,None,61.497517299838364,63.497795399976894,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
computer,old,,,,,0,6,6,0,,,,,,,,,,,,63.497795399976894,63.497795399976894,n,0,2.4903158000670373,None,66.01348689990118,68.01355179981329,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
android ,new ,,,,,0,7,7,6,,,,,,,,,,,,68.01355179981329,68.01355179981329,y,0,2.8906107002403587,None,70.930296999868,72.93084309995174,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
circle,old,,,,,0,8,8,5,,,,,,,,,,,,72.93084309995174,72.93084309995174,y,1,2.5782650001347065,None,75.5302846999839,77.53056879993528,,,,,,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.53056879993528,77.53056879993528,space,1.1264728002715856,None,control1,001,2023-11-30_16h11.10.250,memory experiment,2023.1.3,59.740404060547384,
