stim_word,old_new,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,textStudy.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,textTest.started,keyTest.started,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,text.started,text.stopped,textEnd.started,keyEnd.started,keyEnd.keys,keyEnd.rt,keyEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,11.268969299970195,11.268969299970195,space,0.6155395999085158,None,,,,,,,,,,,,,,,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
computer,,0,0,0,0,,,,,,,,,,11.919656199868768,,,,,,,,,,,,,,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
green,,0,1,1,3,,,,,,,,,,12.919369400013238,,,,,,,,,,,,,,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
circle,,0,2,2,5,,,,,,,,,,13.920851799892262,,,,,,,,,,,,,,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
hill,,0,3,3,2,,,,,,,,,,14.92095089983195,,,,,,,,,,,,,,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
machine,,0,4,4,4,,,,,,,,,,15.918865199899301,,,,,,,,,,,,,,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
mountain,,0,5,5,1,,,,,,,,,,16.91912079998292,,,,,,,,,,,,,,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
,,,,,,,,,,,,,,,,17.919898299966007,17.919898299966007,space,4.256599199958146,None,,,,,,,,,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
country,new ,,,,,0,0,0,8,,,,,,,,,,,,22.20188089995645,22.20188089995645,y,0,0.9893317001406103,None,23.218750200001523,25.218906600028276,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
hill,old,,,,,0,1,1,2,,,,,,,,,,,,25.218906600028276,25.218906600028276,y,1,0.7206590999849141,None,25.968863899819553,27.968638999853283,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
machine,old,,,,,0,2,2,4,,,,,,,,,,,,27.968638999853283,27.968638999853283,y,1,0.850617399904877,None,28.835267199901864,30.835575699806213,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
computer,old,,,,,0,3,3,0,,,,,,,,,,,,30.835575699806213,30.835575699806213,y,1,0.5896493000909686,None,31.453677099896595,33.45229459996335,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
android ,new ,,,,,0,4,4,6,,,,,,,,,,,,33.45229459996335,33.45229459996335,n,1,0.7447463001590222,None,34.21848109993152,36.21837319992483,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
button ,new ,,,,,0,5,5,7,,,,,,,,,,,,36.21837319992483,36.21837319992483,y,0,0.6318778998684138,None,36.86855149990879,38.86953779985197,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
green,old,,,,,0,6,6,3,,,,,,,,,,,,38.86953779985197,38.86953779985197,y,1,0.6425554999150336,None,39.53523529996164,41.535156099824235,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
mountain,old,,,,,0,7,7,1,,,,,,,,,,,,41.535156099824235,41.535156099824235,y,1,0.6711230999790132,None,42.23536209994927,44.23545179981738,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
circle,old,,,,,0,8,8,5,,,,,,,,,,,,44.23545179981738,44.23545179981738,y,1,0.509871699847281,None,44.76841529994272,46.769760199822485,,,,,,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.769760199822485,46.769760199822485,space,0.8983272998593748,None,3,001,2023-11-29_20h27.57.117,memory experiment,2023.1.3,60.100162924596326,
