stim_word,old_new,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,textStudy.started,textStudy.stopped,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,textTest.started,keyTest.started,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,text.started,text.stopped,textEnd.started,keyEnd.started,keyEnd.keys,keyEnd.rt,keyEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,10.687886000145227,10.687886000145227,space,0.6575704000424594,None,,,,,,,,,,,,,,,,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
machine,,0,0,0,4,,,,,,,,,,11.367797800106928,12.368830200051889,,,,,,,,,,,,,,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
circle,,0,1,1,5,,,,,,,,,,12.368830200051889,13.367796000093222,,,,,,,,,,,,,,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
green,,0,2,2,3,,,,,,,,,,13.367796000093222,14.36947530019097,,,,,,,,,,,,,,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
hill,,0,3,3,2,,,,,,,,,,14.36947530019097,15.367831400129944,,,,,,,,,,,,,,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
mountain,,0,4,4,1,,,,,,,,,,15.367831400129944,,,,,,,,,,,,,,,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
computer,,0,5,5,0,,,,,,,,,,16.368217000039294,17.368235800182447,,,,,,,,,,,,,,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
,,,,,,,,,,,,,,,,,17.368235800182447,17.368235800182447,space,5.361112899845466,None,,,,,,,,,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
button ,new ,,,,,0,0,0,7,,,,,,,,,,,,,22.751291600055993,22.751291600055993,y,0,1.5110803998541087,None,24.28588580014184,26.28683750005439,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
android ,new ,,,,,0,1,1,6,,,,,,,,,,,,,26.28683750005439,26.28683750005439,n,1,2.0598388998769224,None,28.36917920014821,30.369859600206837,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
hill,old,,,,,0,2,2,2,,,,,,,,,,,,,30.369859600206837,30.369859600206837,y,1,0.982324399985373,None,31.37003040011041,33.370063400128856,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
country,new ,,,,,0,3,3,8,,,,,,,,,,,,,33.370063400128856,33.370063400128856,y,0,1.1397965997457504,None,34.53650730010122,36.53668700018898,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
circle,old,,,,,0,4,4,5,,,,,,,,,,,,,36.53668700018898,36.53668700018898,y,1,1.2348121998365968,None,37.8032521000132,39.803249100223184,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
computer,old,,,,,0,5,5,0,,,,,,,,,,,,,39.803249100223184,39.803249100223184,n,0,0.5448354000691324,None,40.369878500001505,42.37017390015535,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
green,old,,,,,0,6,6,3,,,,,,,,,,,,,42.37017390015535,42.37017390015535,y,1,0.4181914997752756,None,42.81984250014648,44.82071360014379,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
mountain,old,,,,,0,7,7,1,,,,,,,,,,,,,44.82071360014379,44.82071360014379,y,1,0.5853480000514537,None,45.43644480011426,47.43773020012304,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
machine,old,,,,,0,8,8,4,,,,,,,,,,,,,47.43773020012304,47.43773020012304,y,1,0.669717299984768,None,48.13694020011462,50.13676610006951,,,,,,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.13676610006951,50.13676610006951,space,4.1561564998701215,None,2,001,2023-11-29_20h26.31.791,memory experiment,2023.1.3,60.03608169425545,
