9.5607 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
23.1966 	EXP 	text: height = 0.05
23.1966 	EXP 	text: height = 0.05
23.1966 	EXP 	text: text = 'GBP 27today or GBP 50 after 21 days'
23.1966 	EXP 	fixation: autoDraw = True
24.1799 	EXP 	text: autoDraw = True
24.1978 	EXP 	fixation: autoDraw = False
24.8498 	DATA 	Keypress: t
24.8643 	EXP 	fixation: autoDraw = False
24.8643 	EXP 	text: autoDraw = False
24.9422 	EXP 	window1: mouseVisible = True
