25.0806 	EXP 	grating: autoDraw = False
25.0806 	EXP 	grating: ori = 0.0
25.0806 	EXP 	fixation: autoDraw = True
26.0637 	EXP 	grating: autoDraw = True
26.0809 	EXP 	fixation: autoDraw = False
26.3638 	EXP 	grating: autoDraw = False
26.3985 	DATA 	Keypress: up
26.4139 	EXP 	fixation: autoDraw = False
26.4139 	EXP 	grating: autoDraw = False
26.4728 	EXP 	window1: mouseVisible = True
